HUC_8,latitude,longitude,Total phosphorus concentration in soil (ppm),Mehlich-3 (M3) phosphorus concentration in soil (ppm),Soil Fertility Level
18020005,41.1342,-122.3146,740,171.710674894769,Excessive
18020103,40.06945,-122.26335,560,108.052111885499,Excessive
18020104,39.0754666666667,-122.047866666667,826.666666666667,216.955517626691,Excessive
18020105,39.39,-121.85,430,47.2794091674418,Optimum
18020106,39.3164,-121.5093,930,268.492265928589,Excessive
18020109,38.445975,-121.832125,1055,343.468469391211,Excessive
18020111,38.62445,-121.20865,505,87.3358809350809,Excessive
18020112,40.648,-122.592,240,9.01297528206526,Very Low
18020115,39.426,-122.514,520,76.6607181281259,Excessive
18020118,40.485,-121.6317,540,84.1030336466222,Excessive
18020119,40.279,-121.835,470,59.4031694844761,Excessive
18020121,40.0315,-121.281633333333,740,193.517827522499,Excessive
18020122,40.15885,-120.9169,905,255.495903565976,Excessive
18020123,39.7053333333333,-120.8106,723.333333333333,164.860871151784,Excessive
18020125,39.33,-120.571,1020,316.427891581578,Excessive
18020126,38.989,-121.134,560,91.8308860948003,Excessive
18020128,39.129,-120.807,1010,311.065786295667,Excessive
18020129,38.736,-120.4434,520,82.9781328461034,Excessive
18030001,35.969,-118.477,1180,402.835857993497,Excessive
18030003,35.1573,-118.9198,605,116.375085018496,Excessive
18030006,36.195,-118.72155,590,124.76935534244,Excessive
18030007,36.674,-119.209,360,29.0718255219181,Medium
18030010,36.89065,-118.801,555,89.8815610154265,Excessive
18030011,36.1395,-120.524,1410,526.695879761067,Excessive
18030012,35.8698583333333,-119.636891666667,668.333333333333,152.161106914148,Excessive
18040001,37.0536666666667,-120.727466666667,333.333333333333,27.5994895054768,Medium
18040002,37.79405,-121.0124,490,66.7110104079694,Excessive
18040003,37.868,-121.75,950,279.072307389984,Excessive
18040006,37.10305,-119.4373,455,54.8963424978336,Excessive
18040007,37.405,-120.125,840,221.631511429914,Excessive
18040008,37.5098,-119.6933,630,120.90183207821,Excessive
18040009,37.8112,-119.97195,1120,370.349669104387,Excessive
18040010,38.3962,-120.1749,970,289.698359085229,Excessive
18040011,38.23,-120.348,855,265.195965892034,Excessive
18050003,37.3098,-121.758766666667,713.333333333333,171.576673241802,Excessive
18050004,37.40995,-121.5073,345,41.4913898537582,Optimum
18060001,37.2045,-122.1447,230,7.93827196457156,Very Low
18060002,36.542,-121.284,510,73.0514278321865,Excessive
18060004,35.205,-119.951,630,120.90183207821,Excessive
18060005,35.9108333333333,-120.952933333333,543.333333333333,98.8241135116509,Excessive
18060006,35.8945,-121.2875,805,222.53872402107,Excessive
18060007,35.0493,-120.3036,240,9.01297528206526,Very Low
18060008,34.8409,-120.23215,500,129.203307428726,Excessive
18060010,34.5665,-119.933,260,12.5484478396695,Very Low
18060012,36.5709,-121.8552,170,3.17666576563636,Very Low
18070102,34.4721,-118.59012,1868,745.591167902479,Excessive
18070103,34.152,-118.964,570,95.7970318208061,Excessive
18070105,34.1389,-118.325566666667,1163.33333333333,393.926106980737,Excessive
18070202,33.9675,-117.2666,360,29.0718255219181,Medium
18070301,33.5755,-117.62585,1070,401.82009191232,Excessive
18070302,33.3798,-116.7083,370,31.363832335443,Medium
18070304,32.909075,-116.968075,292.5,41.5039356951383,Optimum
18080001,41.2595,-120.0848,1390,516.390663021487,Excessive
18080002,40.9993,-120.5275,945,276.424231342508,Excessive
18080003,40.425975,-120.382525,1055,340.789171507341,Excessive
18090101,37.8966,-118.94155,395,59.0202241347839,Excessive
18090102,37.31044,-118.38148,730,177.119216510831,Excessive
18090103,36.4839666666667,-118.0108,950,281.146252357708,Excessive
18090201,37.0463333333333,-117.860666666667,746.666666666667,191.144500800255,Excessive
18090202,36.6670666666667,-116.427066666667,310,21.3639144193542,Low
18090203,36.3875,-117.02745,827.5,232.427079517408,Excessive
18090204,36.2413666666667,-117.378633333333,670,140.607227738889,Excessive
18090205,35.6849,-117.553266666667,460,59.0332787513536,Excessive
18090206,34.7844666666667,-117.820466666667,523.333333333333,82.0236980361497,Excessive
18090207,35.1006666666667,-117.069666666667,443.333333333333,53.498399965746,Excessive
18090208,34.88115,-116.500675,422.5,50.3978285592754,Excessive
18100100,34.3564333333333,-115.676675,575.833333333333,113.646347522752,Excessive
18100200,33.33955,-115.94065,690,158.86569874885,Excessive
