HUC_8,P_emitted (kg/year),P_emittedManure  (kg/year),P_emittedFertilizer  (kg/year),P_uptake  (kg/year),P_balance  (kg/year),P_TES (dimensionless metric),P Saturation
2050101,977366.08140972,709745.319991565,267620.761418155,18267384.0424685,-17290017.9610588,17.6904215216066,Not saturated
2050102,928672.042840968,622217.738134287,306454.304706681,4812621.52841764,-3883949.48557667,4.18226166655669,Not saturated
2050103,401566.593850105,289699.490491785,111867.10335832,1655429.46177627,-1253862.86792617,3.12242822766827,Not saturated
2050104,842652.251957031,554082.435674734,288569.816282297,1557322.27556618,-714670.023609149,0.848119757526728,Not saturated
2050105,720797.50693188,456631.473833807,264166.033098073,64147463.2888241,-63426665.7818922,87.9951236955186,Not saturated
2050106,1040539.6232438,842660.667462771,197878.955781031,875874.538894302,164665.084349499,-0.158249701088911,Saturated
2050107,812427.239128603,382808.31857471,429618.920553893,20947720.4016244,-20135293.1624958,24.7841187403965,Not saturated
2050201,341043.443354186,151629.428783495,189414.014570691,16745648.2581981,-16404604.8148439,48.1012174094406,Not saturated
2050202,46626.3826398253,24221.2616233921,22405.1210164332,7775991.8741309,-7729365.49149108,165.772360064861,Not saturated
2050203,64906.1381844372,45282.770620154,19623.3675642832,4519707.91871232,-4454801.78052788,68.6345221752235,Not saturated
2050204,418215.939512839,268991.411641063,149224.527871776,1740319.65041704,-1322103.7109042,3.16129440796604,Not saturated
2050205,170948.1488046,119282.814793043,51665.3340115568,5020532.07043977,-4849583.92163517,28.3687419579981,Not saturated
2050206,1205853.2014606,800943.43216068,404909.769299916,3107528.55879812,-1901675.35733752,1.57703720074227,Not saturated
2050301,1898443.97420077,1499461.79475291,398982.179447852,9391953.59414994,-7493509.61994918,3.94718502193561,Not saturated
2050302,809161.753836228,528599.315945206,280562.437891022,4434420.27585358,-3625258.52201735,4.48026430417656,Not saturated
2050303,686551.099413765,342936.411286798,343614.688126967,6561654.07215018,-5875102.97273642,8.55741543164533,Not saturated
2050304,1729374.44986556,1379987.04453445,349387.405331112,5694745.47460197,-3965371.02473641,2.2929510870504,Not saturated
2050305,4302792.62905177,3260242.6551741,1042549.97387767,2528655.72718855,1774136.90186322,-0.412322195098255,Saturated
2050306,11356411.0829164,9204645.81118237,2151765.271734,4909444.75682237,6446966.32609401,-0.567693990559419,Saturated
2060001,0,0,0,7275642.77574586,-7275642.77574586,inf,Not saturated
2060002,1436354.06648225,814260.713287806,622093.353194443,8951428.73213304,-7515074.6656508,5.23204886665295,Not saturated
2060003,612524.675614189,317017.455418015,295507.220196174,17492905.7365541,-16880381.0609399,27.5586955644091,Not saturated
2060004,20786.9965044608,11492.4108511807,9294.58565328008,8024266.15241723,-8003479.15591277,385.023356029105,Not saturated
2060005,1427092.04957144,1052475.16030791,374616.889263529,13024387.5568285,-11597295.5072571,8.12652239968672,Not saturated
2060006,189211.909801734,83326.6621094609,105885.247692273,34216989.8370016,-34027777.9271999,179.839514134475,Not saturated
2070001,3766052.64316185,3718097.80325024,47954.8399116066,2764769.4143639,1001283.22879795,-0.265870746819223,Saturated
2070002,596417.062049719,513062.333068688,83354.7289810309,914953.837897366,-318536.775847647,0.534083942456181,Not saturated
2070003,1274927.44248582,1201253.63270269,73673.809783129,2832762.31658686,-1557834.87410104,1.22190080955793,Not saturated
2070004,3400690.45271969,2974120.5089715,426569.943748196,6068545.08015087,-2667854.62743118,0.78450381312935,Not saturated
