,Flow (m3/day),Operation cost (USD/year),Capital cost (USD)
224,1120.1,7544.842448220001,70834.46504933188
225,1125.1,7544.842448220001,70834.46504933188
226,1130.1,7544.842448220001,70834.46504933188
227,1135.1,7544.842448220001,70834.46504933188
228,1140.1,7544.842448220001,70834.46504933188
229,1145.1,7544.842448220001,70834.46504933188
230,1150.1,7544.842448220001,70834.46504933188
231,1155.1,7544.842448220001,70834.46504933188
232,1160.1,7544.842448220001,70834.46504933188
233,1165.1,7544.842448220001,70834.46504933188
234,1170.1,7544.842448220001,70834.46504933188
235,1175.1,7544.842448220001,70834.46504933188
236,1180.1,7544.842448220001,70834.46504933188
237,1185.1,7544.842448220001,70834.46504933188
238,1190.1,7544.842448220001,70834.46504933188
239,1195.1,7544.842448220001,70834.46504933188
240,1200.1,7544.842448220001,70834.46504933188
241,1205.1,7544.842448220001,70834.46504933188
242,1210.1,7544.842448220001,70834.46504933188
243,1215.1,7544.842448220001,70834.46504933188
244,1220.1,7544.842448220001,70834.46504933188
245,1225.1,7544.842448220001,70834.46504933188
246,1230.1,7544.842448220001,70834.46504933188
247,1235.1,7544.842448220001,70834.46504933188
248,1240.1,7544.842448220001,70834.46504933188
249,1245.1,7544.842448220001,70834.46504933188
250,1250.1,7544.842448220001,70834.46504933188
251,1255.1,7544.842448220001,70834.46504933188
252,1260.1,7544.842448220001,70834.46504933188
253,1265.1,7544.842448220001,70834.46504933188
254,1270.1,7544.842448220001,70834.46504933188
255,1275.1,7544.842448220001,70834.46504933188
256,1280.1,7544.842448220001,70834.46504933188
257,1285.1,7544.842448220001,70834.46504933188
258,1290.1,7544.842448220001,70834.46504933188
259,1295.1,7544.842448220001,70834.46504933188
260,1300.1,7544.842448220001,70834.46504933188
261,1305.1,7544.842448220001,70834.46504933188
262,1310.1,7544.842448220001,70834.46504933188
263,1315.1,7544.842448220001,70834.46504933188
264,1320.1,7544.842448220001,70834.46504933188
265,1325.1,7544.842448220001,70834.46504933188
266,1330.1,7544.842448220001,70834.46504933188
267,1335.1,7544.842448220001,70834.46504933188
268,1340.1,7544.842448220001,70834.46504933188
269,1345.1,7544.842448220001,70834.46504933188
270,1350.1,7544.842448220001,70834.46504933188
271,1355.1,7544.842448220001,70834.46504933188
272,1360.1,7544.842448220001,70834.46504933188
273,1365.1,7544.842448220001,70834.46504933188
274,1370.1,7544.842448220001,70834.46504933188
275,1375.1,7544.842448220001,70834.46504933188
276,1380.1,7544.842448220001,70834.46504933188
277,1385.1,7544.842448220001,70834.46504933188
278,1390.1,7544.842448220001,70834.46504933188
279,1395.1,7544.842448220001,70834.46504933188
280,1400.1,7544.842448220001,70834.46504933188
281,1405.1,7544.842448220001,70834.46504933188
282,1410.1,7544.842448220001,70834.46504933188
283,1415.1,7544.842448220001,70834.46504933188
284,1420.1,7544.842448220001,70834.46504933188
285,1425.1,7544.842448220001,70834.46504933188
286,1430.1,7544.842448220001,70834.46504933188
287,1435.1,7544.842448220001,70834.46504933188
288,1440.1,7544.842448220001,70834.46504933188
289,1445.1,9431.053060275,88543.08131166484
290,1450.1,9431.053060275,88543.08131166484
291,1455.1,9431.053060275,88543.08131166484
292,1460.1,9431.053060275,88543.08131166484
293,1465.1,9431.053060275,88543.08131166484
294,1470.1,9431.053060275,88543.08131166484
295,1475.1,9431.053060275,88543.08131166484
296,1480.1,9431.053060275,88543.08131166484
297,1485.1,9431.053060275,88543.08131166484
298,1490.1,9431.053060275,88543.08131166484
299,1495.1,9431.053060275,88543.08131166484
300,1500.1,9431.053060275,88543.08131166484
301,1505.1,9431.053060275,88543.08131166484
302,1510.1,9431.053060275,88543.08131166484
303,1515.1,9431.053060275,88543.08131166484
304,1520.1,9431.053060275,88543.08131166484
305,1525.1,9431.053060275,88543.08131166484
306,1530.1,9431.053060275,88543.08131166484
307,1535.1,9431.053060275,88543.08131166484
308,1540.1,9431.053060275,88543.08131166484
309,1545.1,9431.053060275,88543.08131166484
310,1550.1,9431.053060275,88543.08131166484
311,1555.1,9431.053060275,88543.08131166484
312,1560.1,9431.053060275,88543.08131166484
313,1565.1,9431.053060275,88543.08131166484
314,1570.1,9431.053060275,88543.08131166484
315,1575.1,9431.053060275,88543.08131166484
316,1580.1,9431.053060275,88543.08131166484
317,1585.1,9431.053060275,88543.08131166484
318,1590.1,9431.053060275,88543.08131166484
319,1595.1,9431.053060275,88543.08131166484
