rec_id,lab_id,site_id,horizon,depth_cm,quartz_pct,tot_k_fs_pct,tot_plag_pct,tot_flds_pct,tot_14a_pct,tot_10a_pct,kaolinit_pct,tot_clay_pct,gibbsite_pct,calcite_pct,dolomite_pct,aragon_pct,tot_carb_pct,analcime_pct,heuland_pct,tot_zeol_pct,gypsum_pct,talc_pct,hornbl_pct,serpent_pct,hematite_pct,goethite_pct,pyroxene_pct,pyrite_pct,other_pct,amorph_pct,ag_ppm_q,ag_ppm,al_pct_q,al_pct,as_ppm_q,as_ppm,ba_ppm_q,ba_ppm,be_ppm_q,be_ppm,bi_ppm_q,bi_ppm,c_tot_pct,c_tot_pct_q,c_inorg_pct,c_inorg_pct_q,c_org_pct,c_org_pct_q,ca_pct_q,ca_pct,cd_ppm_q,cd_ppm,ce_ppm_q,ce_ppm,co_ppm_q,co_ppm,cr_ppm_q,cr_ppm,cs_ppm_q,cs_ppm,cu_ppm_q,cu_ppm,fe_pct_q,fe_pct,ga_ppm_q,ga_ppm,hg_ppm_q,hg_ppm,in_ppm_q,in_ppm,k_pct_q,k_pct,la_ppm_q,la_ppm,li_ppm_q,li_ppm,mg_pct_q,mg_pct,mn_ppm_q,mn_ppm,mo_ppm_q,mo_ppm,na_pct_q,na_pct,nb_ppm_q,nb_ppm,ni_ppm_q,ni_ppm,p_ppm_q,p_ppm,pb_ppm_q,pb_ppm,rb_ppm_q,rb_ppm,s_pct_q,s_pct,sb_ppm_q,sb_ppm,sc_ppm_q,sc_ppm,se_ppm_q,se_ppm,sn_ppm_q,sn_ppm,sr_ppm_q,sr_ppm,te_ppm_q,te_ppm,th_ppm_q,th_ppm,ti_pct_q,ti_pct,tl_ppm_q,tl_ppm,u_ppm_q,u_ppm,v_ppm_q,v_ppm,w_ppm_q,w_ppm,y_ppm_q,y_ppm,zn_ppm_q,zn_ppm,
31,C-328867,5008,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,1.5,,2.2,,183,,0.6,,0.07,,,,,,,,0.05,<0.1,,,42.6,,5.8,,18,<5,,,6.3,,0.87,,4.02,,0.03,<0.02,,,0.41,,16.8,,10,,0.07,,241,,0.41,,0.06,,6,,5.2,,140,,8.7,,27.7,<0.01,,,0.26,,2.4,<0.2,,,0.7,,23.1,<0.1,,,4.6,,0.26,,0.2,,1.4,,22,,0.3,,8.4,,18
32,C-328812,5328,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,3.96,,12.7,,288,,1,,0.2,,,,,,,,0.06,,0.1,,87.4,,16,,51,<5,,,17.3,,2.13,,10.2,,0.07,,0.04,,0.75,,29.8,,27,,0.16,,1070,,1.33,,0.09,,15,,18.3,,590,,39.3,,61.5,,0.02,,0.99,,6.3,,0.3,,1.4,,32.9,,0.1,,10,,0.43,,0.6,,3.8,,61,,1.3,,18.1,,94
33,C-328814,5408,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,0.39,,0.8,,45,<0.1,,,0.05,,,,,,,<0.01,,<0.1,,,46.7,,0.7,,7,<5,,,2.2,,0.22,,1.15,,0.01,<0.02,,,0.08,,22.5,,4,,0.01,,129,,0.26,<0.01,,,5.4,,2,,160,,6,,6.1,<0.01,,,0.11,,0.7,<0.2,,,0.3,,5.4,<0.1,,,7.8,,0.21,<0.1,,,1.5,,7,,0.3,,4.8,,7
34,C-328796,5472,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,2.75,,13,,195,,1,,0.16,,,,,,,,0.28,,0.3,,75.6,,9.9,,50,<5,,,18.7,,2.33,,7.96,,0.03,,0.03,,0.45,,30.5,,29,,0.15,,786,,0.83,,0.07,,10.6,,14.8,,570,,24.2,,31.4,,0.02,,0.69,,5.1,,0.3,,1.3,,34.8,<0.1,,,9.4,,0.3,,0.2,,2.4,,50,,0.6,,13.8,,90
35,C-328784,5520,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,2.22,,2.5,,249,,0.9,,0.07,,,,,,,,0.33,,0.1,,66.1,,5,,23,<5,,,4.5,,1.32,,6.14,,0.02,,0.02,,0.71,,32.1,,13,,0.16,,361,,0.41,,0.14,,11.5,,7,,540,,10.3,,35.6,,0.02,,0.18,,3.6,,0.2,,0.7,,61,<0.1,,,9.4,,0.3,,0.2,,2.1,,33,,0.4,,11.6,,32
36,C-328993,5776,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,0.44,,0.9,,45,,0.1,,0.05,,,,,,,<0.01,,<0.1,,,17.4,,1.2,,3,<5,,,3.3,,0.29,,1.54,,0.02,<0.02,,,0.09,,8.7,,4,,0.02,,57,,0.2,<0.01,,,2.4,,2,,180,,9,,8.8,<0.01,,,0.17,,0.7,<0.2,,,0.7,,5.9,<0.1,,,2.2,,0.1,<0.1,,,0.6,,6,,0.1,,3.5,,20
37,C-329066,5920,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,1.98,,3.7,,47,,0.3,,0.11,,,,,,,,0.01,<0.1,,,38.3,,2.1,,19,<5,,,7,,0.87,,6.09,,0.02,<0.02,,,0.09,,14.6,,9,,0.04,,97,,0.83,<0.01,,,7,,8.3,,270,,10.5,,12.2,<0.01,,,0.39,,2.6,<0.2,,,1.6,,5.7,<0.1,,,4.3,,0.25,,0.1,,1.2,,26,,0.5,,7.9,,22
38,C-328807,6240,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,1.01,,1.9,,60,,0.2,,0.09,,,,,,,,0.01,<0.1,,,24,,0.8,,13,<5,,,3.8,,0.45,,2.39,,0.03,<0.02,,,0.1,,8.8,,7,,0.03,,183,,0.28,<0.01,,,5.5,,2.9,,70,,10.2,,8.1,<0.01,,,0.22,,1.7,<0.2,,,0.6,,8.3,<0.1,,,4.1,,0.26,<0.1,,,0.9,,15,,0.2,,3.6,,8
39,C-329062,6432,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,1.7,,2.6,,62,,0.2,,0.09,,,,,,,,0.04,<0.1,,,33.7,,1.6,,18,<5,,,7.8,,0.82,,4.91,,0.03,<0.02,,,0.09,,14.6,,10,,0.04,,242,,0.6,<0.01,,,7.4,,6.5,,220,,11.9,,11.6,<0.01,,,0.3,,2.5,,0.2,,0.9,,8.1,<0.1,,,4.8,,0.26,<0.1,,,1,,23,,0.5,,7.3,,29
40,C-329058,6544,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,1.38,,2.1,,158,,0.6,,0.06,,,,,,,,0.03,<0.1,,,36.8,,4.7,,7,<5,,,5,,0.56,,3.88,,0.03,<0.02,,,0.26,,15.7,,8,,0.06,,590,,0.37,,0.04,,2.4,,6.7,,100,,7.9,,23.7,<0.01,,,0.14,,1.6,<0.2,,,0.4,,16,<0.1,,,3,,0.09,,0.2,,0.9,,15,,0.1,,9.4,,18
